Mountain,Route,Mileage,Elevation,Route Time
Handies Peak,Southwest Slopes,5.75 mi,2500',7740
Mt. Elbert,Northeast Ridge,9.90 mi,4643',36480
"Group: Grays, Torreys",Combo,8.48 mi,3600',37380
Longs Peak,Keyhole Route,14.50 mi,5100',43200
Mt. Yale,Southwest Slopes,9.50 mi,4300',21900
Mt. Princeton,Southwest Ridge w/ East Slopes Descent,10.17 mi,5122',21031
Longs Peak,Keyhole Route,14.00 mi,5100',19920
"Group: Redcloud, Sunshine",East Ridge ascent to Northeast Ridge descent,9.50 mi,4600',27600
Mt. Elbert,Northeast Ridge,9.31 mi,4259',12000
Mt. Elbert,Southeast Ridge,11.00 mi,5300',22140
La Plata Peak,Northwest Ridge,9.60 mi,4344',24300
Longs Peak,Keyhole Route,14.50 mi,5100',28800
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,7.67 mi,3852',18248
Mt. Democrat,East Slope,4.00 mi,2150',21600
"Group: Grays, Torreys",Combo Clockwise,8.19 mi,3600',11003
Quandary Peak,West Ridge,9.70 mi,3448',27900
Mt. Sherman,Southwest Ridge,6.07 mi,-,10992
Quandary Peak,East Ridge,6.81 mi,3450',22588
Mt. Elbert,Northeast Ridge,9.30 mi,4700',18109
"Group: Castle, Conundrum",lolipop loop,12.00 mi,4844',39600
Mt. Princeton,East Slopes,6.25 mi,3200',26485
Pikes Peak,Northwest Slopes,14.00 mi,4396',19500
Mt. Elbert,Northeast Ridge,10.57 mi,4169',12000
"Group: Belford, Oxford, Missouri",Standard via Missouri Gulch,15.00 mi,7350',23400
"Group: Blanca, Ellingwood, Little Bear",Little Bear Blanca and Ellingwood Traverse,6.50 mi,7000',21600
"Group: Grays, Torreys",Standard Combo Route,8.50 mi,3638',14680
Mt. Sherman,Southwest Ridge,5.10 mi,2142',10500
Humboldt Peak,West Ridge,11.50 mi,4200',21600
"Group: Grays, Torreys",Standard,8.00 mi,3600',27000
Quandary Peak,East Ridge,6.75 mi,3450',15780
La Plata Peak,Southwest Ridge,7.00 mi,3380',11820
"Group: Democrat, Cameron, Lincoln, Bross",Five Peaks,8.87 mi,3759',23940
Mt. of the Holy Cross,North Ridge,-,-,259200
La Plata Peak,Northwest Ridge,10.00 mi,4400',22200
Mt. Evans,West Ridge from Summit Lake,5.97 mi,2286',19620
"Group: Grays, Torreys",Kelso Ridge,7.28 mi,3765',20727
La Plata Peak,Northwest Ridge,10.80 mi,4397',23400
North Maroon Peak,Northeast Ridge,9.25 mi,4500',28800
Crestone Needle,South Face,18.00 mi,5550',32400
"Group: Challenger, Kit Carson",Via Willow Lake and Challenger,19.78 mi,6306',50448
Grays Peak,South Ridge plus Ruby Edwards McClellan,9.75 mi,4545',22726
Mt. Evans,Evans Egis sans Bierstadt,29.08 mi,11484',59966
"Group: Grays, Torreys",Via Kelso Ridge plus Mount Edwards Attempt,11.13 mi,4190',30987
"Group: Grays, Torreys",Via Kelso Ridge plus Kelso Mountain,10.10 mi,4186',27922
Longs Peak,Casual Route,12.00 mi,5100',45000
Capitol Peak,From Capitol Lake,5.00 mi,2530',19800
"Group: Maroon, North Maroon",Bells Traverse,13.50 mi,4850',37800
Pyramid Peak,Northeast Ridge,10.50 mi,4500',27000
Mt. Yale,Southwest Slopes,9.50 mi,4300',22203
"Group: Blanca, Ellingwood",Combo without traverse,19.00 mi,7500',60300
Ellingwood Point,South Face,19.00 mi,7500',60300
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.46 mi,-,17278
Mt. Elbert,Northeast Ridge,9.50 mi,4700',44427
Quandary Peak,East Ridge,-,3450',12600
Mt. of the Holy Cross,Halo Ridge,14.07 mi,5528',36060
Mt. Evans,West Ridge from Echo Lake,17.00 mi,5600',45420
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake TH Democrat 1st,7.25 mi,3700',26100
Mt. Sherman,West Slopes from Iowa Gulch,4.50 mi,2150',21600
Quandary Peak,East Ridge,6.75 mi,3450',14400
Mt. Bierstadt,West Slopes,7.31 mi,2850',13747
Mt. Evans,West Ridge from Summit Lake,5.78 mi,2000',11827
"Group: Grays, Torreys",Combination Route,8.34 mi,3410',17460
Challenger Point,North Slope,12.50 mi,5400',48600
"Group: Democrat, Cameron, Lincoln, Bross",Combination Route,7.25 mi,3700',23884
Mt. Massive,East Slopes,14.05 mi,4770',18120
La Plata Peak,Northwest Ridge,10.11 mi,4398',29228
"Group: Harvard, Columbia",Harvard and Columbia Traverse,16.80 mi,5896',42300
Mt. of the Holy Cross,Halo Ridge,17.00 mi,7600',52200
Mt. Princeton,East Slopes,7.00 mi,3400',21600
"Group: Crestone Peak, Crestone Needle",Peak to Needle Traverse,4.39 mi,4383',28320
Mt. Elbert,Northeast Ridge,9.50 mi,4700',19800
Little Bear Peak,West Ridge and Southwest Face,12.50 mi,5600',23400
Mt. Princeton,East Slopes,13.25 mi,5400',14100
Mt. Yale,Southwest Slopes,9.50 mi,4300',11820
Mt. Elbert,Northeast Ridge,9.50 mi,4700',44100
Longs Peak,Keyhole Route,14.50 mi,5100',19020
Torreys Peak,Kelso Ridge,6.82 mi,2902',17640
Mt. Elbert,East Ridge,10.86 mi,3701',20409
"Group: Harvard, Columbia",Camped in Horn Fork Basin,7.00 mi,4600',37800
Mt. of the Holy Cross,Halo Ridge,14.20 mi,5253',36000
Mt. Sneffels,South Slopes,7.10 mi,3320',15300
Wetterhorn Peak,Southeast Ridge,8.00 mi,3700',22800
Mt. Lindsey,Ascent via NW Ridge Descent via NW gully,8.25 mi,3500',33960
"Group: Evans, Sawtooth, Bierstadt",Bierstadt Sawtooth Evans,13.36 mi,4300',19080
Mt. Princeton,East Slopes,7.53 mi,3278',25336
"Group: Evans, Sawtooth, Bierstadt",Tour de Abyss,5.00 mi,3000',16320
Longs Peak,Keyhole Route,14.50 mi,5100',28440
Mt. Columbia,West Slopes,10.39 mi,3656',27312
