,lattitude,longitude,elevation
0,39.63,-105.825,4004.4755859375
1,39.63,-105.8234,4078.16357421875
2,39.63,-105.8218,4112.16552734375
3,39.63,-105.8202,4081.951904296875
4,39.63,-105.8186,4113.72265625
5,39.63,-105.817,4160.88671875
6,39.63,-105.8154,4211.3271484375
7,39.63,-105.8138,4144.646484375
8,39.63,-105.8122,4064.815185546875
9,39.63,-105.8106,4005.80078125
10,39.63,-105.809,3957.75390625
11,39.63,-105.8074,3901.47802734375
12,39.63,-105.8058,3882.246337890625
13,39.63,-105.8042,3830.870849609375
14,39.63,-105.8026,3809.7900390625
15,39.63,-105.801,3796.652099609375
16,39.63,-105.7994,3758.274169921875
17,39.63,-105.7978,3767.35546875
18,39.63,-105.7962,3758.496337890625
19,39.63,-105.7946,3760.596923828125
20,39.63,-105.793,3793.061279296875
21,39.63,-105.7914,3823.751708984375
22,39.63,-105.7898,3902.06689453125
23,39.63,-105.7882,3949.672607421875
24,39.63,-105.7866,3980.7138671875
25,39.6316,-105.825,3936.718017578125
26,39.6316,-105.8234,4018.684814453125
27,39.6316,-105.8218,4105.22998046875
28,39.6316,-105.8202,4166.1015625
29,39.6316,-105.8186,4188.71923828125
30,39.6316,-105.817,4249.6953125
31,39.6316,-105.8154,4210.87353515625
32,39.6316,-105.8138,4126.84033203125
33,39.6316,-105.8122,4045.1884765625
34,39.6316,-105.8106,3969.774169921875
35,39.6316,-105.809,3922.590576171875
36,39.6316,-105.8074,3887.754150390625
37,39.6316,-105.8058,3895.71630859375
38,39.6316,-105.8042,3863.10205078125
39,39.6316,-105.8026,3864.879150390625
40,39.6316,-105.801,3849.423828125
41,39.6316,-105.7994,3837.26220703125
42,39.6316,-105.7978,3828.814697265625
43,39.6316,-105.7962,3837.836181640625
44,39.6316,-105.7946,3876.68798828125
45,39.6316,-105.793,3909.38916015625
46,39.6316,-105.7914,3953.705078125
47,39.6316,-105.7898,3996.427001953125
48,39.6316,-105.7882,4065.563232421875
49,39.6316,-105.7866,4092.733642578125
50,39.6332,-105.825,3910.30029296875
51,39.6332,-105.8234,3998.912353515625
52,39.6332,-105.8218,4094.91259765625
53,39.6332,-105.8202,4191.3037109375
54,39.6332,-105.8186,4278.2490234375
55,39.6332,-105.817,4331.23046875
56,39.6332,-105.8154,4272.51708984375
57,39.6332,-105.8138,4174.11669921875
58,39.6332,-105.8122,4084.5234375
59,39.6332,-105.8106,4004.8759765625
60,39.6332,-105.809,3938.37939453125
61,39.6332,-105.8074,3921.863525390625
62,39.6332,-105.8058,3944.450439453125
63,39.6332,-105.8042,3961.356201171875
64,39.6332,-105.8026,3991.6845703125
65,39.6332,-105.801,3971.347900390625
66,39.6332,-105.7994,3969.825439453125
67,39.6332,-105.7978,3922.2958984375
68,39.6332,-105.7962,3978.817138671875
69,39.6332,-105.7946,3982.670654296875
70,39.6332,-105.793,4030.08203125
71,39.6332,-105.7914,4073.30859375
72,39.6332,-105.7898,4112.4677734375
73,39.6332,-105.7882,4095.07275390625
74,39.6332,-105.7866,4062.276611328125
75,39.6348,-105.825,3921.863037109375
76,39.6348,-105.8234,4016.0947265625
77,39.6348,-105.8218,4109.74267578125
78,39.6348,-105.8202,4210.5927734375
