Mountain,Altitude,Range
Mt. Elbert,"14,433",Sawatch
Mt. Massive,"14,421",Sawatch
Mt. Harvard,"14,420",Sawatch
Blanca Peak,"14,345",Sangre de Cristo
La Plata Peak,"14,336",Sawatch
Uncompahgre Peak,"14,309",San Juan
Crestone Peak,"14,294",Sangre de Cristo
Mt. Lincoln,"14,286",Mosquito
Grays Peak,"14,270",Front
Mt. Antero,"14,269",Sawatch
Torreys Peak,"14,267",Front
Quandary Peak,"14,265",Tenmile
Castle Peak,"14,265",Elk
Mt. Evans,"14,264",Front
Longs Peak,"14,255",Front
Mt. Wilson,"14,246",San Juan
Mt. Cameron,"14,238",Mosquito
Mt. Shavano,"14,229",Sawatch
Mt. Princeton,"14,197",Sawatch
Crestone Needle,"14,197",Sangre de Cristo
Mt. Belford,"14,197",Sawatch
Mt. Yale,"14,196",Sawatch
Mt. Bross,"14,172",Mosquito
Kit Carson Peak,"14,165",Sangre de Cristo
El Diente Peak,"14,159",San Juan
Maroon Peak,"14,156",Elk
Tabeguache Peak,"14,155",Sawatch
Mt. Oxford,"14,153",Sawatch
Mt. Sneffels,"14,150",San Juan
Mt. Democrat,"14,148",Mosquito
Capitol Peak,"14,130",Elk
Pikes Peak,"14,110",Front
Snowmass Mountain,"14,092",Elk
Windom Peak,"14,087",San Juan
Mt. Eolus,"14,083",San Juan
Challenger Point,"14,081",Sangre de Cristo
Mt. Columbia,"14,073",Sawatch
Missouri Mountain,"14,067",Sawatch
Humboldt Peak,"14,064",Sangre de Cristo
Mt. Bierstadt,"14,060",Front
Conundrum Peak,"14,060",Elk
Sunlight Peak,"14,059",San Juan
Handies Peak,"14,048",San Juan
Culebra Peak,"14,047",Sangre de Cristo
Ellingwood Point,"14,042",Sangre de Cristo
Mt. Lindsey,"14,042",Sangre de Cristo
North Eolus,"14,039",San Juan
Little Bear Peak,"14,037",Sangre de Cristo
Mt. Sherman,"14,036",Mosquito
Redcloud Peak,"14,034",San Juan
Pyramid Peak,"14,018",Elk
Wilson Peak,"14,017",San Juan
Wetterhorn Peak,"14,015",San Juan
San Luis Peak,"14,014",San Juan
North Maroon Peak,"14,014",Elk
Mt. of the Holy Cross,"14,005",Sawatch
Huron Peak,"14,003",Sawatch
Sunshine Peak,"14,001",San Juan
