Mountain,Users
Grays Peak,30
Mt. Belford,7
Mt. Bierstadt,40
Mt. Bross,20
Mt. Elbert,25
Mt. Lincoln,20
Mt. Sherman,25
Pikes Peak,20
Quandary Peak,25
San Luis Peak,5
Torreys Peak,30
Culebra Peak,3
Handies Peak,7
Humboldt Peak,3
Huron Peak,7
La Plata Peak,7
Mt. Antero,5
Mt. Cameron,20
Mt. Columbia,5
Mt. Democrat,20
Mt. Evans,20
Mt. Harvard,7
Mt. Lindsey,3
Mt. Massive,10
Mt. of the Holy Cross,5
Mt. Oxford,7
Mt. Princeton,7
Mt. Shavano,7
Mt. Yale,7
Redcloud Peak,5
Sunshine Peak,5
Tabeguache Peak,7
Uncompahgre Peak,5
Blanca Peak,3
Castle Peak,3
Challenger Point,3
Conundrum Peak,3
El Diente Peak,3
Ellingwood Point,3
Kit Carson Peak,3
Missouri Mountain,5
Mt. Sneffels,5
North Eolus,5
Windom Peak,5
Capitol Peak,3
Crestone Needle,3
Crestone Peak,3
Little Bear Peak,3
Longs Peak,20
Maroon Peak,3
Mt. Eolus,3
Mt. Wilson,3
North Maroon Peak,3
Pyramid Peak,3
Snowmass Mountain,3
Wetterhorn Peak,5
Wilson Peak,3
Sunlight Peak,5
