,lattitude,longitude,elevation
0,40.228,-105.6473,3340.398681640625
1,40.228,-105.6455,3339.51611328125
2,40.228,-105.6437,3339.17236328125
3,40.228,-105.642,3325.947265625
4,40.228,-105.6402,3332.017578125
5,40.228,-105.6384,3356.98583984375
6,40.228,-105.6367,3370.373779296875
7,40.228,-105.6349,3367.430419921875
8,40.228,-105.6331,3395.06591796875
9,40.228,-105.6313,3375.828369140625
10,40.228,-105.6296,3422.848876953125
11,40.228,-105.6278,3464.739013671875
12,40.228,-105.626,3507.534912109375
13,40.228,-105.6243,3536.85107421875
14,40.228,-105.6225,3551.4443359375
15,40.228,-105.6207,3541.963623046875
16,40.228,-105.619,3510.259521484375
17,40.228,-105.6172,3455.607177734375
18,40.228,-105.6154,3387.263671875
19,40.228,-105.6136,3321.95751953125
20,40.228,-105.6119,3299.451904296875
21,40.228,-105.6101,3289.009033203125
22,40.228,-105.6083,3280.563720703125
23,40.228,-105.6066,3255.716796875
24,40.228,-105.6048,3228.1708984375
25,40.228,-105.603,3202.055419921875
26,40.228,-105.6013,3184.868896484375
27,40.228,-105.5995,3171.40087890625
28,40.228,-105.5977,3201.462890625
29,40.228,-105.596,3285.947998046875
30,40.228,-105.5942,3318.373779296875
31,40.228,-105.5924,3342.043212890625
32,40.228,-105.5906,3361.068115234375
33,40.228,-105.5889,3375.426025390625
34,40.228,-105.5871,3374.435302734375
35,40.228,-105.5853,3352.596435546875
36,40.228,-105.5836,3310.705810546875
37,40.228,-105.5818,3265.054931640625
38,40.228,-105.58,3241.613037109375
39,40.228,-105.5783,3223.421630859375
40,40.228,-105.5765,3233.802734375
41,40.228,-105.5747,3228.418701171875
42,40.228,-105.5729,3210.82275390625
43,40.228,-105.5712,3187.8837890625
44,40.228,-105.5694,3163.788818359375
45,40.228,-105.5676,3173.6064453125
46,40.228,-105.5659,3209.32373046875
47,40.228,-105.5641,3207.484130859375
48,40.228,-105.5623,3110.833740234375
49,40.228,-105.5606,3030.584228515625
50,40.2288,-105.6473,3399.04052734375
51,40.2288,-105.6455,3371.7685546875
52,40.2288,-105.6437,3353.493896484375
53,40.2288,-105.642,3363.55078125
54,40.2288,-105.6402,3363.93359375
55,40.2288,-105.6384,3364.56591796875
56,40.2288,-105.6367,3385.122802734375
57,40.2288,-105.6349,3390.58056640625
58,40.2288,-105.6331,3403.62060546875
59,40.2288,-105.6313,3440.140869140625
60,40.2288,-105.6296,3466.91455078125
61,40.2288,-105.6278,3497.422607421875
62,40.2288,-105.626,3542.362060546875
63,40.2288,-105.6243,3573.67578125
64,40.2288,-105.6225,3561.415283203125
65,40.2288,-105.6207,3523.688232421875
66,40.2288,-105.619,3463.394287109375
67,40.2288,-105.6172,3405.259033203125
68,40.2288,-105.6154,3336.45654296875
69,40.2288,-105.6136,3316.69775390625
70,40.2288,-105.6119,3299.410888671875
71,40.2288,-105.6101,3284.9052734375
72,40.2288,-105.6083,3262.069580078125
73,40.2288,-105.6066,3245.36279296875
74,40.2288,-105.6048,3225.2138671875
75,40.2288,-105.603,3202.700927734375
76,40.2288,-105.6013,3177.4599609375
77,40.2288,-105.5995,3190.718994140625
78,40.2288,-105.5977,3263.705322265625
79,40.2288,-105.596,3320.934814453125
80,40.2288,-105.5942,3362.17333984375
81,40.2288,-105.5924,3385.336181640625
82,40.2288,-105.5906,3405.745361328125
83,40.2288,-105.5889,3413.856201171875
84,40.2288,-105.5871,3401.88330078125
85,40.2288,-105.5853,3382.31298828125
86,40.2288,-105.5836,3344.058349609375
87,40.2288,-105.5818,3305.308349609375
88,40.2288,-105.58,3277.635009765625
89,40.2288,-105.5783,3257.853759765625
90,40.2288,-105.5765,3262.66357421875
91,40.2288,-105.5747,3258.8095703125
92,40.2288,-105.5729,3236.82568359375
93,40.2288,-105.5712,3226.819091796875
94,40.2288,-105.5694,3189.724853515625
95,40.2288,-105.5676,3173.403076171875
96,40.2288,-105.5659,3181.791259765625
97,40.2288,-105.5641,3192.27685546875
98,40.2288,-105.5623,3102.805908203125
99,40.2288,-105.5606,3027.03662109375
100,40.2296,-105.6473,3420.52783203125
101,40.2296,-105.6455,3411.4716796875
102,40.2296,-105.6437,3374.356689453125
103,40.2296,-105.642,3392.599609375
104,40.2296,-105.6402,3382.088134765625
105,40.2296,-105.6384,3377.76806640625
106,40.2296,-105.6367,3390.239990234375
107,40.2296,-105.6349,3396.880859375
108,40.2296,-105.6331,3406.627197265625
109,40.2296,-105.6313,3488.43115234375
110,40.2296,-105.6296,3504.182861328125
111,40.2296,-105.6278,3526.464599609375
112,40.2296,-105.626,3559.551025390625
113,40.2296,-105.6243,3570.54931640625
114,40.2296,-105.6225,3548.087646484375
115,40.2296,-105.6207,3492.30810546875
116,40.2296,-105.619,3418.9921875
117,40.2296,-105.6172,3354.5
118,40.2296,-105.6154,3328.044677734375
119,40.2296,-105.6136,3307.7802734375
120,40.2296,-105.6119,3283.95166015625
121,40.2296,-105.6101,3260.832763671875
122,40.2296,-105.6083,3251.179931640625
123,40.2296,-105.6066,3247.818115234375
124,40.2296,-105.6048,3224.419921875
125,40.2296,-105.603,3198.793212890625
126,40.2296,-105.6013,3184.4296875
127,40.2296,-105.5995,3218.4189453125
128,40.2296,-105.5977,3291.507568359375
129,40.2296,-105.596,3339.322021484375
130,40.2296,-105.5942,3376.652587890625
131,40.2296,-105.5924,3408.449951171875
132,40.2296,-105.5906,3431.0234375
133,40.2296,-105.5889,3438.274658203125
134,40.2296,-105.5871,3426.32763671875
135,40.2296,-105.5853,3404.808349609375
136,40.2296,-105.5836,3372.884765625
137,40.2296,-105.5818,3340.66796875
138,40.2296,-105.58,3308.175048828125
139,40.2296,-105.5783,3285.110595703125
140,40.2296,-105.5765,3279.96435546875
141,40.2296,-105.5747,3266.9638671875
142,40.2296,-105.5729,3254.744140625
143,40.2296,-105.5712,3262.099365234375
144,40.2296,-105.5694,3224.418212890625
145,40.2296,-105.5676,3186.472412109375
146,40.2296,-105.5659,3154.577392578125
147,40.2296,-105.5641,3148.37646484375
148,40.2296,-105.5623,3104.2685546875
149,40.2296,-105.5606,3027.16796875
150,40.2304,-105.6473,3418.553955078125
151,40.2304,-105.6455,3399.073974609375
152,40.2304,-105.6437,3403.0283203125
153,40.2304,-105.642,3391.37744140625
